,boardNumber,Precinct,Email,Zip,Nodes,Sheet,District,Name,Borough,Party,Sheet_Index,Label
0,,,,,0,City Council Members,14.0,Fernando Cabrera,Bronx,Democrat,1.0,Fernando Cabrera
1,,,,,1,City Council Members,11.0,Andrew Cohen,Bronx,Democrat,3.0,Andrew Cohen
2,,,,,2,City Council Members,16.0,Vanessa L Gibson,Bronx,Democrat,14.0,Vanessa L Gibson
3,,,,,3,City Council Members,12.0,Andy King,Bronx,Democrat,17.0,Andy King
4,,,,,4,City Council Members,8.0,Diana Ayala,Bronx,Democrat,27.0,Diana Ayala
5,,,,,5,City Council Members,18.0,Ruben Diaz Sr.,Bronx,Democrat,33.0,Ruben Diaz Sr.
6,,,,,6,City Council Members,15.0,Ritchie Torres,Bronx,Democrat,38.0,Ritchie Torres
7,,,,,7,City Council Members,13.0,Mark Gjonaj,Bronx,Democrat,41.0,Mark Gjonaj
8,,,,,8,City Council Members,17.0,Rafael Salamanca,Bronx,Democrat,52.0,Rafael Salamanca
9,,,,,9,City Council Members,42.0,Inez Barron,Brooklyn,Democrat,0.0,Inez Barron
10,,,,,10,City Council Members,36.0,Robert Cornegy,Brooklyn,Democrat,4.0,Robert Cornegy
11,,,,,11,City Council Members,35.0,Laurie Cumbo,Brooklyn,Democrat,7.0,Laurie Cumbo
12,,,,,12,City Council Members,48.0,Chaim M. Deutsch,Brooklyn,Democrat,8.0,Chaim M. Deutsch
13,,,,,13,City Council Members,37.0,Rafael Espinal,Brooklyn,Democrat,10.0,Rafael Espinal
14,,,,,14,City Council Members,40.0,Mathieu Eugene,Brooklyn,Democrat,11.0,Mathieu Eugene
15,,,,,15,City Council Members,43.0,Justin Brannan,Brooklyn,Democrat,13.0,Justin Brannan
16,,,,,16,City Council Members,44.0,Kalman Yeger,Brooklyn,Democrat,15.0,Kalman Yeger
17,,,,,17,City Council Members,39.0,Brad Lander,Brooklyn,Democrat,22.0,Brad Lander
18,,,,,18,City Council Members,33.0,Stephen Levin,Brooklyn,Democrat,23.0,Stephen Levin
19,,,,,19,City Council Members,46.0,Alan Maisel,Brooklyn,Democrat,25.0,Alan Maisel
20,,,,,20,City Council Members,41.0,Alicka Ampry-Samuel,Brooklyn,Democrat,29.0,Alicka Ampry-Samuel
21,,,,,21,City Council Members,38.0,Carlos Menchaca,Brooklyn,Democrat,30.0,Carlos Menchaca
22,,,,,22,City Council Members,47.0,Mark Treyger,Brooklyn,Democrat,39.0,Mark Treyger
23,,,,,23,City Council Members,45.0,Farah Louis,Brooklyn,Democrat,44.0,Farah Louis
24,,,,,24,City Council Members,34.0,Antonio Reynoso,Brooklyn,Democrat,49.0,Antonio Reynoso
25,,,,,25,City Council Members,1.0,Margaret Chin,Manhattan,Democrat,2.0,Margaret Chin
26,,,,,26,City Council Members,4.0,Keith Powers,Manhattan,Democrat,12.0,Keith Powers
27,,,,,27,City Council Members,3.0,Corey Johnson,Manhattan,Democrat,16.0,Corey Johnson
28,,,,,28,City Council Members,5.0,Ben Kallos,Manhattan,Democrat,18.0,Ben Kallos
29,,,,,29,City Council Members,7.0,Mark Levine,Manhattan,Democrat,24.0,Mark Levine
30,,,,,30,City Council Members,8.0,Diana Ayala,Manhattan,Democrat,26.0,Diana Ayala
31,,,,,31,City Council Members,2.0,Carlina Rivera,Manhattan,Democrat,31.0,Carlina Rivera
32,,,,,32,City Council Members,10.0,Ydanis Rodriguez,Manhattan,Democrat,35.0,Ydanis Rodriguez
33,,,,,33,City Council Members,6.0,Helen Rosenthal,Manhattan,Democrat,37.0,Helen Rosenthal
34,,,,,34,City Council Members,9.0,Bill Perkins,Manhattan,Democrat,50.0,Bill Perkins
35,,,,,35,City Council Members,22.0,Costa Constantinides,Queens,Democrat,5.0,Costa Constantinides
36,,,,,36,City Council Members,30.0,Robert Holden,Queens,Democrat,6.0,Robert Holden
37,,,,,37,City Council Members,25.0,Daniel Dromm,Queens,Democrat,9.0,Daniel Dromm
38,,,,,38,City Council Members,20.0,Peter Koo,Queens,Democrat,19.0,Peter Koo
39,,,,,39,City Council Members,29.0,Karen Koslowitz,Queens,Democrat,20.0,Karen Koslowitz
40,,,,,40,City Council Members,24.0,Rory Lancman,Queens,Democrat,21.0,Rory Lancman
41,,,,,41,City Council Members,27.0,I. Daneek Miller,Queens,Democrat,32.0,I. Daneek Miller
42,,,,,42,City Council Members,31.0,Donovan Richards,Queens,Democrat,34.0,Donovan Richards
43,,,,,43,City Council Members,32.0,Eric Ulrich,Queens,Republican,40.0,Eric Ulrich
44,,,,,44,City Council Members,19.0,Paul Vallone,Queens,Democrat,42.0,Paul Vallone
45,,,,,45,City Council Members,26.0,Jimmy Van Bramer,Queens,Democrat,43.0,Jimmy Van Bramer
46,,,,,46,City Council Members,21.0,Francisco Moya,Queens,Democrat,45.0,Francisco Moya
47,,,,,47,City Council Members,28.0,Adrienne Adams,Queens,,46.0,Adrienne Adams
48,,,,,48,City Council Members,34.0,Antonio Reynoso,Queens,Democrat,48.0,Antonio Reynoso
49,,,,,49,City Council Members,23.0,Barry Grodenchik,Queens,Democrat,51.0,Barry Grodenchik
50,,,,,50,City Council Members,50.0,Steven Matteo,Staten Island,Republican,28.0,Steven Matteo
51,,,,,51,City Council Members,49.0,Deborah Rose,Staten Island,Democrat,36.0,Deborah Rose
52,,,,,52,City Council Members,51.0,Joseph Borelli,Staten Island,Republican,47.0,Joseph Borelli
53,1.0,"['1', '5', '7']",man01@cb.nyc.gov,10007.0,53,Manhattan Board,,,,,0.0,Manhattan Board 1
54,2.0,"['1', '5', '6', '9']",bgormley@cb.nyc.gov,10012.0,54,Manhattan Board,,,,,1.0,Manhattan Board 2
55,3.0,"['5', '7', '9']",mn03@cb.nyc.gov,10003.0,55,Manhattan Board,,,,,2.0,Manhattan Board 3
56,4.0,"['10', '13', 'MSP', 'MNP']",mn03@cb.nyc.gov,10003.0,56,Manhattan Board,,,,,4.0,Manhattan Board 4
57,5.0,"['10', 'MSP', 'MNP']",office@cb5.org,10123.0,57,Manhattan Board,,,,,5.0,Manhattan Board 5
58,6.0,"['13', '17']",info@cbsix.org,10017.0,58,Manhattan Board,,,,,6.0,Manhattan Board 6
59,7.0,"['20', '24', 'CPP']",office@cb7.org,10024.0,59,Manhattan Board,,,,,7.0,Manhattan Board 7
60,8.0,"['19', 'CPP']",info@cb8m.com,10022.0,60,Manhattan Board,,,,,8.0,Manhattan Board 8
61,9.0,"['26', '30']",nyc-cb9m@juno.com,10027.0,61,Manhattan Board,,,,,9.0,Manhattan Board 9
62,10.0,"['28', '32']",mn10@cb.nyc.gov,10027.0,62,Manhattan Board,,,,,10.0,Manhattan Board 10
63,11.0,"['23', '25']",mn11@cb.nyc.gov,10035.0,63,Manhattan Board,,,,,11.0,Manhattan Board 11
64,12.0,"['33', '34']",mn11@cb.nyc.gov,10035.0,64,Manhattan Board,,,,,12.0,Manhattan Board 12
65,1.0,['34'],qn01@cb.nyc.gov,11105.0,65,Queens Board,,,,,0.0,Queens Board 1
